cabang,sku,n_months,qty_mean,qty_std,qty_max,qty_min,total_qty,zero_months,zero_ratio,cv,demand_level
02A,BNOP400CHAR,41,756.1219512195122,762.5550863748124,4052.0,95.0,31001.0,0,0.0,1.008508065590378,0
02A,BNOP400CPOX,41,756.1219512195122,762.5550863748124,4052.0,95.0,31001.0,0,0.0,1.008508065590378,0
02A,BUVW001K194,41,712.9268292682926,377.37801938135607,1872.0,246.0,29230.0,0,0.0,0.5293362570864044,0
02A,BUVW001KSB,41,1056.9512195121952,541.9107376321082,2290.0,442.0,43335.0,0,0.0,0.5127112090208016,1
02A,BUVW001KSBM,41,678.5121951219512,311.5663751073934,1491.0,227.0,27819.0,0,0.0,0.45919053091064127,0
02A,BUVW001KSW,46,3712.3695652173915,1843.7173965020377,8486.0,1276.0,170769.0,0,0.0,0.49664166352847255,3
02A,BUVW100C192,41,885.1463414634146,376.3379837975174,2064.0,312.0,36291.0,0,0.0,0.42517035451484425,0
02A,BUVW100CSB,41,2071.0243902439024,705.3202282582315,4140.0,1140.0,84912.0,0,0.0,0.34056587241600117,2
02A,BUVW100CSW,41,1850.341463414634,766.2881837062378,4092.0,804.0,75864.0,0,0.0,0.4141333904349329,2
02A,CKLM001KS607,41,982.9268292682926,393.20753999916525,1797.0,385.0,40300.0,0,0.0,0.4000374476418307,0
02A,CKLM001KSPOL,41,597.6341463414634,216.42594069306492,1023.0,235.0,24503.0,0,0.0,0.3621378430565915,0
02A,DOPQ001K001,41,981.9512195121952,502.2653656793145,2431.0,261.0,40260.0,0,0.0,0.5114972675820143,0
02A,DOPQ001K009,41,2103.4146341463415,933.2423312197576,4000.0,455.0,86240.0,0,0.0,0.44367967973109995,3
02A,FSTU001KSB,41,673.4878048780488,362.59385832851746,1551.0,202.0,27613.0,0,0.0,0.5383822182113213,0
02A,FSTU001KSW,41,1093.8292682926829,527.0865157846017,2196.0,371.0,44847.0,0,0.0,0.481872748392728,1
05A,BBCD005KSW,41,1929.780487804878,607.4457388193256,3648.0,1196.0,79121.0,0,0.0,0.3147745262520993,2
05A,BUVW001K194,41,888.0731707317074,308.5528633997667,1641.0,414.0,36411.0,0,0.0,0.3474408118258338,0
05A,BUVW001KSB,41,1504.0975609756097,434.8562293953054,2709.0,864.0,61668.0,0,0.0,0.289114377070888,2
05A,BUVW001KSW,46,5520.847826086957,1800.751126828176,10162.0,3120.0,253959.0,0,0.0,0.32617293277299125,3
05A,BUVW100C192,41,750.1463414634146,434.14568758514747,2340.0,264.0,30756.0,0,0.0,0.5787479903430566,0
05A,BUVW100CSB,41,1042.5365853658536,254.84388334438947,1620.0,684.0,42744.0,0,0.0,0.24444598580198318,1
05A,BUVW100CSW,41,1036.0975609756097,499.7723384141048,2952.0,564.0,42480.0,0,0.0,0.4823603077913912,1
05A,CKLM001KS600,41,1295.7560975609756,475.5578713725495,2634.0,672.0,53126.0,0,0.0,0.3670118722711014,1
05A,CKLM001KS607,41,1659.6341463414635,456.93329688793534,2820.0,870.0,68045.0,0,0.0,0.27532170140944007,2
05A,CKLM001KS610,41,873.8780487804878,227.23701229354683,1326.0,450.0,35829.0,0,0.0,0.26003286455205055,0
05A,DKLM350C,41,1033.878048780488,370.28618628852126,2016.0,408.0,42389.0,0,0.0,0.35815267257612515,1
05A,DOPQ001K009,41,992.6341463414634,264.5896592931744,1765.0,567.0,40698.0,0,0.0,0.26655305005209473,0
05A,DOPQ004K009,41,767.829268292683,175.04897920853819,1334.0,428.0,31481.0,0,0.0,0.22797903966043218,0
05A,FIJK250C,41,759.3414634146342,160.0513370384792,1064.0,522.0,31133.0,0,0.0,0.2107765014157854,0
05A,FSTU001KSW,41,1151.2926829268292,417.0985041871067,2337.0,522.0,47203.0,0,0.0,0.3622871146255826,1
13A,BBCD005KSW,41,2748.487804878049,1355.6394085808959,6456.0,907.0,112688.0,0,0.0,0.49323100731059855,3
13A,BUVW001KSB,41,1418.5853658536585,612.2977207049589,3470.0,747.0,58162.0,0,0.0,0.43162557251991535,1
13A,BUVW001KSW,41,4037.682926829268,1754.4699547017672,9269.0,1990.0,165545.0,0,0.0,0.43452395507428465,3
13A,BUVW100CSB,41,1945.4634146341464,552.6400319177474,3312.0,1116.0,79764.0,0,0.0,0.2840660110905627,2
13A,BUVW100CSW,41,1765.7560975609756,591.4098739659241,3324.0,1092.0,72396.0,0,0.0,0.33493293597164053,2
13A,DKLM350C,41,2786.9024390243903,1662.2442179908167,8784.0,648.0,114263.0,0,0.0,0.5964486573748587,3
13A,DOPQ001K002,46,4402.804347826087,2281.8043992474727,11535.0,1528.0,202529.0,0,0.0,0.5182615939711535,3
13A,DOPQ001K009,41,1844.658536585366,944.177727172064,4338.0,107.0,75631.0,0,0.0,0.5118441751934342,2
13A,DOPQ004K002,41,1981.2926829268292,1151.7405142631396,6671.0,507.0,81233.0,0,0.0,0.5813076100204193,2
13A,FSTU001KSW,41,1397.4878048780488,416.07325808991965,2557.0,817.0,57297.0,0,0.0,0.2977294375218023,1
13I,BBCD005KSW,41,1401.560975609756,478.54273836202384,2715.0,714.0,57464.0,0,0.0,0.3414355470006087,1
13I,BUVW001KSB,41,3535.439024390244,2612.1190827447026,13637.0,1143.0,144953.0,0,0.0,0.7388386745533573,3
13I,BUVW001KSW,46,9229.08695652174,6742.427953147267,27122.0,2428.0,424538.0,0,0.0,0.7305628373544282,3
13I,BUVW100CSB,41,1316.780487804878,478.2193802113797,2736.0,516.0,53988.0,0,0.0,0.3631731975377226,1
13I,BUVW200CSB,41,1662.439024390244,673.3384753888821,4044.0,780.0,68160.0,0,0.0,0.4050304796206597,2
