cabang,sku,feature,corr
02A,BNOP400CHAR,event_flag,0.5188389781477434
02A,BNOP400CHAR,event_flag_lag1,-0.22249264472992897
02A,BNOP400CHAR,holiday_count,-0.1770919676061866
02A,BNOP400CHAR,holiday_count_lag1,0.06395332392245451
02A,BNOP400CHAR,rainfall_lag1,
02A,BNOP400CPOX,event_flag,0.5188389781477434
02A,BNOP400CPOX,event_flag_lag1,-0.22249264472992897
02A,BNOP400CPOX,holiday_count,-0.1770919676061866
02A,BNOP400CPOX,holiday_count_lag1,0.06395332392245451
02A,BNOP400CPOX,rainfall_lag1,
02A,BUVW001K194,event_flag,0.37476419515857506
02A,BUVW001K194,event_flag_lag1,-0.19357367313404683
02A,BUVW001K194,holiday_count,-0.05891327375865793
02A,BUVW001K194,holiday_count_lag1,0.01496426439722219
02A,BUVW001K194,rainfall_lag1,
02A,BUVW001KSB,event_flag,0.46461749881330006
02A,BUVW001KSB,event_flag_lag1,-0.13466257560041492
02A,BUVW001KSB,holiday_count,-0.12632694083368026
02A,BUVW001KSB,holiday_count_lag1,0.16903359681980834
02A,BUVW001KSB,rainfall_lag1,
02A,BUVW001KSBM,event_flag,0.3330520698681984
02A,BUVW001KSBM,event_flag_lag1,-0.09542105321739074
02A,BUVW001KSBM,holiday_count,-0.15333096127616358
02A,BUVW001KSBM,holiday_count_lag1,0.10683748965446382
02A,BUVW001KSBM,rainfall_lag1,
02A,BUVW001KSW,event_flag,0.4011355271713069
02A,BUVW001KSW,event_flag_lag1,-0.13275916362544782
02A,BUVW001KSW,holiday_count,-0.1329783105703591
02A,BUVW001KSW,holiday_count_lag1,0.1351092667520523
02A,BUVW001KSW,rainfall_lag1,
02A,BUVW100C192,event_flag,0.08967279495197986
02A,BUVW100C192,event_flag_lag1,-0.23184982868642584
02A,BUVW100C192,holiday_count,-0.24997580782346715
02A,BUVW100C192,holiday_count_lag1,0.039865584265395
02A,BUVW100C192,rainfall_lag1,
02A,BUVW100CSB,event_flag,0.13776595510226466
02A,BUVW100CSB,event_flag_lag1,-0.10817023651625708
02A,BUVW100CSB,holiday_count,-0.0831642100835987
02A,BUVW100CSB,holiday_count_lag1,0.15518465343979373
02A,BUVW100CSB,rainfall_lag1,
02A,BUVW100CSW,event_flag,0.13569152245019736
02A,BUVW100CSW,event_flag_lag1,-0.13832594376015353
02A,BUVW100CSW,holiday_count,-0.12699239277203866
02A,BUVW100CSW,holiday_count_lag1,0.06136440518660744
02A,BUVW100CSW,rainfall_lag1,
02A,CKLM001KS607,event_flag,0.4029174573228378
02A,CKLM001KS607,event_flag_lag1,-0.08508693520493354
02A,CKLM001KS607,holiday_count,-0.09212597797498316
02A,CKLM001KS607,holiday_count_lag1,0.14479797130685196
02A,CKLM001KS607,rainfall_lag1,
02A,CKLM001KSPOL,event_flag,0.3796493102666931
02A,CKLM001KSPOL,event_flag_lag1,-0.2835090980200886
02A,CKLM001KSPOL,holiday_count,-0.08935395835629971
