cabang,sku,n_train,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max
02A,BNOP400CHAR,41.0,0.0,0.0,0.04878048780487805,756.1219512195122,483.0,762.5550863748124,95.0,4052.0
02A,BNOP400CPOX,41.0,0.0,0.0,0.04878048780487805,756.1219512195122,483.0,762.5550863748124,95.0,4052.0
02A,BUVW001K194,41.0,0.0,0.0,0.024390243902439025,712.9268292682926,701.0,377.378019381356,246.0,1872.0
02A,BUVW001KSB,41.0,0.0,0.0,0.07317073170731707,1056.9512195121952,859.0,541.9107376321082,442.0,2290.0
02A,BUVW001KSBM,41.0,0.0,0.0,0.07317073170731707,678.5121951219512,633.0,311.5663751073934,227.0,1491.0
02A,BUVW001KSW,41.0,0.0,0.0,0.024390243902439025,3842.756097560976,3464.0,1829.9017429972546,1276.0,8486.0
02A,BUVW100C192,41.0,0.0,0.0,0.024390243902439025,885.1463414634146,816.0,376.33798379751744,312.0,2064.0
02A,BUVW100CSB,41.0,0.0,0.0,0.0,2071.0243902439024,1992.0,705.3202282582316,1140.0,4140.0
02A,BUVW100CSW,41.0,0.0,0.0,0.024390243902439025,1850.341463414634,1608.0,766.2881837062379,804.0,4092.0
02A,CKLM001KS607,41.0,0.0,0.0,0.0,982.9268292682926,877.0,393.2075399991652,385.0,1797.0
02A,CKLM001KSPOL,41.0,0.0,0.0,0.0,597.6341463414634,556.0,216.4259406930649,235.0,1023.0
02A,DOPQ001K001,41.0,0.0,0.0,0.0,981.9512195121952,966.0,502.2653656793146,261.0,2431.0
02A,DOPQ001K009,41.0,0.0,0.0,0.0,2103.4146341463415,2133.0,933.2423312197576,455.0,4000.0
02A,FSTU001KSB,41.0,0.0,0.0,0.04878048780487805,673.4878048780488,562.0,362.59385832851746,202.0,1551.0
02A,FSTU001KSW,41.0,0.0,0.0,0.0,1093.8292682926829,987.0,527.0865157846017,371.0,2196.0
05A,BBCD005KSW,41.0,0.0,0.0,0.0,1929.780487804878,1758.0,607.4457388193254,1196.0,3648.0
05A,BUVW001K194,41.0,0.0,0.0,0.04878048780487805,888.0731707317074,894.0,308.55286339976675,414.0,1641.0
05A,BUVW001KSB,41.0,0.0,0.0,0.07317073170731707,1504.0975609756097,1404.0,434.8562293953054,864.0,2709.0
05A,BUVW001KSW,41.0,0.0,0.0,0.04878048780487805,5677.682926829269,5186.0,1838.539521454793,3120.0,10162.0
