area,cabang,sku,periode,qty,event_flag,event_flag_lag1,holiday_count,holiday_count_lag1,rainfall_lag1,is_train,is_test,imputed,spike_flag,sample_weight,month,year,qtr
1A,02A,BNOP400CHAR,2021-01-01,412.0,0,,1,,0.0,1,0,0,0,1.0,1,2021,1
1A,02A,BNOP400CHAR,2021-02-01,441.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,2,2021,1
1A,02A,BNOP400CHAR,2021-03-01,1760.0,0,0.0,4,1.0,0.0,1,0,0,0,1.0,3,2021,1
1A,02A,BNOP400CHAR,2021-04-01,502.0,0,0.0,3,4.0,0.0,1,0,0,0,1.0,4,2021,2
1A,02A,BNOP400CHAR,2021-05-01,228.0,0,0.0,5,3.0,0.0,1,0,0,0,1.0,5,2021,2
1A,02A,BNOP400CHAR,2021-06-01,1555.0,1,0.0,1,5.0,0.0,1,0,0,0,1.0,6,2021,2
1A,02A,BNOP400CHAR,2021-07-01,373.0,0,1.0,1,1.0,0.0,1,0,0,0,1.0,7,2021,3
1A,02A,BNOP400CHAR,2021-08-01,504.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,8,2021,3
1A,02A,BNOP400CHAR,2021-09-01,1452.0,0,0.0,0,2.0,0.0,1,0,0,0,1.0,9,2021,3
1A,02A,BNOP400CHAR,2021-10-01,393.0,0,0.0,1,0.0,0.0,1,0,0,0,1.0,10,2021,4
1A,02A,BNOP400CHAR,2021-11-01,4052.0,1,0.0,0,1.0,0.0,1,0,0,1,0.8,11,2021,4
1A,02A,BNOP400CHAR,2021-12-01,124.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2021,4
1A,02A,BNOP400CHAR,2022-01-01,313.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,1,2022,1
1A,02A,BNOP400CHAR,2022-02-01,1638.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,2,2022,1
1A,02A,BNOP400CHAR,2022-03-01,1587.0,1,0.0,1,2.0,0.0,1,0,0,0,1.0,3,2022,1
1A,02A,BNOP400CHAR,2022-04-01,378.0,0,1.0,2,1.0,0.0,1,0,0,0,1.0,4,2022,2
1A,02A,BNOP400CHAR,2022-05-01,247.0,0,0.0,8,2.0,0.0,1,0,0,0,1.0,5,2022,2
1A,02A,BNOP400CHAR,2022-06-01,1335.0,0,0.0,1,8.0,0.0,1,0,0,0,1.0,6,2022,2
1A,02A,BNOP400CHAR,2022-07-01,170.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,7,2022,3
1A,02A,BNOP400CHAR,2022-08-01,99.0,0,0.0,1,2.0,0.0,1,0,0,0,1.0,8,2022,3
1A,02A,BNOP400CHAR,2022-09-01,797.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,9,2022,3
1A,02A,BNOP400CHAR,2022-10-01,532.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,10,2022,4
1A,02A,BNOP400CHAR,2022-11-01,897.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,11,2022,4
1A,02A,BNOP400CHAR,2022-12-01,98.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2022,4
1A,02A,BNOP400CHAR,2023-01-01,483.0,0,0.0,3,1.0,0.0,1,0,0,0,1.0,1,2023,1
1A,02A,BNOP400CHAR,2023-02-01,248.0,0,0.0,1,3.0,0.0,1,0,0,0,1.0,2,2023,1
1A,02A,BNOP400CHAR,2023-03-01,1183.0,1,0.0,2,1.0,0.0,1,0,0,0,1.0,3,2023,1
1A,02A,BNOP400CHAR,2023-04-01,179.0,0,1.0,8,2.0,0.0,1,0,0,0,1.0,4,2023,2
