cabang,sku,dataset_label,n_train,zero_ratio,zero_bucket,qty_median,scale_bucket,qty_mean,qty_std,qty_max,spike_ratio,adf_level_p,adf_diff1_p,acf_lag1,acf_lag2,acf_lag3,acf_lag6,acf_lag12,seasonal_flag,sarimax_d_sug,sarimax_D_sug,sarimax_family,lgbm_size_bucket,lgbm_max_depth_sug,lgbm_num_leaves_sug,lgbm_min_data_in_leaf_sug,tft_use,tft_encoder_length_sug,tft_hidden_size_sug
02A,BNOP400CHAR,selected15,41,0.0,dense,483.0,high,756.1219512195122,762.5550863748124,4052.0,0.04878048780487805,0.3941176547341476,0.02163958005722886,-0.2515912154518715,-0.10536667192367254,0.13821627523175165,-0.18096387640825698,0.20997451483319718,0,1,0,mixed,small,6,16,10,1,24,32
02A,BNOP400CPOX,selected15,41,0.0,dense,483.0,high,756.1219512195122,762.5550863748124,4052.0,0.04878048780487805,0.3941176547341476,0.02163958005722886,-0.2515912154518715,-0.10536667192367254,0.13821627523175165,-0.18096387640825698,0.20997451483319718,0,1,0,mixed,small,6,16,10,1,24,32
02A,BUVW001K194,selected15,41,0.0,dense,701.0,high,712.9268292682926,377.378019381356,1872.0,0.024390243902439025,2.461228999388517e-09,0.03361258548500577,-0.09475140614867136,0.08089545814058362,0.13076639829362438,0.25900805808814475,0.2664071603361442,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
02A,BUVW001KSB,selected15,41,0.0,dense,859.0,high,1056.9512195121952,541.9107376321082,2290.0,0.07317073170731707,2.0464998299866578e-13,0.07465714044199907,-0.3010704817372485,-0.08862290101403256,0.13664441778481018,0.03998492356730908,0.35386914961502675,1,0,1,mixed,small,6,16,10,1,24,32
02A,BUVW001KSBM,selected15,41,0.0,dense,633.0,high,678.5121951219512,311.5663751073934,1491.0,0.07317073170731707,7.233631421197653e-13,0.00021406398119871937,-0.27174961511854495,0.07303907247429099,0.23960984076809677,0.20699810720330455,0.16136398060896423,0,0,0,mixed,small,6,16,10,1,24,32
02A,BUVW001KSW,selected15,41,0.0,dense,3464.0,high,3842.756097560976,1829.9017429972546,8486.0,0.024390243902439025,0.6914869361155719,1.9695344788898397e-09,-0.3560638841708273,0.025576180453371976,0.16418359958948806,0.12932994475301526,0.310057147205773,1,1,1,mixed,small,6,16,10,1,24,32
02A,BUVW100C192,selected15,41,0.0,dense,816.0,high,885.1463414634146,376.33798379751744,2064.0,0.024390243902439025,0.0036450028367468125,0.0009777362236895258,-0.015552822219532185,0.09913897098990185,-0.009887417599119997,-0.07824803114259624,0.38246045631371395,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
02A,BUVW100CSB,selected15,41,0.0,dense,1992.0,high,2071.0243902439024,705.3202282582316,4140.0,0.0,0.00021131920590656072,0.00949911595289417,-0.2611233355173191,0.13024676932389798,0.2607425894775579,0.20623267556012845,0.028477901012538658,0,0,0,mixed,small,6,16,10,1,24,32
02A,BUVW100CSW,selected15,41,0.0,dense,1608.0,high,1850.341463414634,766.2881837062379,4092.0,0.024390243902439025,1.5468738522320821e-12,0.11194091115905258,-0.2473428987475805,0.22068137554695552,0.08585643560268764,0.06651854529002965,0.09995221975783618,0,0,0,mixed,small,6,16,10,1,24,32
02A,CKLM001KS607,selected15,41,0.0,dense,877.0,high,982.9268292682926,393.2075399991652,1797.0,0.0,1.8940620677152117e-13,0.22517474814039862,-0.30427474325634324,-0.005254604990131865,0.07435973349754785,0.12004417711024541,0.3348584831833777,1,0,1,mixed,small,6,16,10,1,24,32
02A,CKLM001KSPOL,selected15,41,0.0,dense,556.0,high,597.6341463414634,216.4259406930649,1023.0,0.0,0.0012653234469872717,0.045904289524817565,-0.317524222187942,-0.22178793225675664,0.11968219098840038,0.003696977443992999,0.32922162038494296,1,0,1,mixed,small,6,16,10,1,24,32
02A,DOPQ001K001,selected15,41,0.0,dense,966.0,high,981.9512195121952,502.2653656793146,2431.0,0.0,2.8129230968313428e-12,0.013355149984784525,-0.2480734459634062,0.07466614331456982,0.1949584181032516,-0.04017900101058254,0.3370558276984323,1,0,1,mixed,small,6,16,10,1,24,32
02A,DOPQ001K009,selected15,41,0.0,dense,2133.0,high,2103.4146341463415,933.2423312197576,4000.0,0.0,8.921703678132472e-15,0.00027076640093130674,-0.3574713618558974,0.07251736656474352,0.05747679766603235,0.06467150803426057,0.4023145124909284,1,0,1,mixed,small,6,16,10,1,24,32
02A,FSTU001KSB,selected15,41,0.0,dense,562.0,high,673.4878048780488,362.59385832851746,1551.0,0.04878048780487805,0.3942619808732246,0.01699891613588744,-0.34532350921881216,-0.09458830230027566,0.19700586184138733,0.013287862317337298,0.43173200060220085,1,1,1,mixed,small,6,16,10,1,24,32
02A,FSTU001KSW,selected15,41,0.0,dense,987.0,high,1093.8292682926829,527.0865157846017,2196.0,0.0,0.07653672928250255,1.25731309858779e-05,-0.21541088032003583,-0.006283010450003078,0.04525464139166461,0.083137516274933,0.4211139207130121,1,1,1,mixed,small,6,16,10,1,24,32
05A,BBCD005KSW,selected15,41,0.0,dense,1758.0,high,1929.780487804878,607.4457388193254,3648.0,0.0,0.17008083667642943,0.0001105051089385072,0.2514108630926433,0.4328645678465429,0.08533316142691179,0.24080626739801042,0.3078715661691978,1,1,1,mixed,small,6,16,10,1,24,32
05A,BUVW001K194,selected15,41,0.0,dense,894.0,high,888.0731707317074,308.55286339976675,1641.0,0.04878048780487805,0.003334176568224144,1.0164433477417555e-09,0.4238580578117833,0.4256851688308139,0.33312853541312004,0.2579275201997754,0.1766417535919853,0,0,0,mixed,small,6,16,10,1,24,32
05A,BUVW001KSB,selected15,41,0.0,dense,1404.0,high,1504.0975609756097,434.8562293953054,2709.0,0.07317073170731707,7.29206475817206e-05,0.0002480807830988858,0.25654274338956334,0.2055154594937097,0.06599031128296678,0.1876308510349408,0.28669310151099925,0,0,0,mixed,small,6,16,10,1,24,32
05A,BUVW001KSW,selected15,41,0.0,dense,5186.0,high,5677.682926829269,1838.539521454793,10162.0,0.04878048780487805,0.0006346083143044847,7.283793773804915e-07,0.35675316354738346,0.30805684792095356,0.1605912723842996,0.13330937848330818,0.3302589531228566,1,0,1,mixed,small,6,16,10,1,24,32
05A,BUVW100C192,selected15,41,0.0,dense,612.0,high,750.1463414634146,434.1456875851475,2340.0,0.07317073170731707,3.2166921585581316e-08,7.724561540645564e-18,0.2801479376757724,0.0004129718284948634,-0.14984271370371785,-0.1741407303368042,0.5618180172930051,1,0,1,mixed,small,6,16,10,1,24,32
05A,BUVW100CSB,selected15,41,0.0,dense,1032.0,high,1042.5365853658536,254.84388334438944,1620.0,0.0,0.3648340373520911,0.01794009455985309,-0.042539518040950915,0.367723347728951,0.2411461148584036,0.028164905663463316,0.17686557389763524,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
05A,BUVW100CSW,selected15,41,0.0,dense,936.0,high,1036.0975609756097,499.77233841410475,2952.0,0.04878048780487805,0.004670886780033716,6.419860755081109e-13,0.1353755038483722,0.02718576371070763,-0.049089105248631505,-0.2600716729159254,0.48972261213104734,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
05A,CKLM001KS600,selected15,41,0.0,dense,1221.0,high,1295.7560975609756,475.5578713725494,2634.0,0.024390243902439025,0.3913608096152429,1.0979508151424351e-13,0.642521198783716,0.6213605351527676,0.5632909565127021,0.3781141984418295,0.0975286038529292,0,1,0,AR_dominant,small,6,16,10,1,24,32
05A,CKLM001KS607,selected15,41,0.0,dense,1611.0,high,1659.6341463414635,456.9332968879353,2820.0,0.0,0.1722149008407166,3.6371703639270204e-20,0.3861072480497949,0.42933240371076953,0.26448850070084606,0.11568308903376845,0.262488843485635,0,1,0,mixed,small,6,16,10,1,24,32
05A,CKLM001KS610,selected15,41,0.0,dense,816.0,high,873.8780487804878,227.23701229354683,1326.0,0.0,0.05652387050392347,3.2431001939258176e-10,0.13822262206655345,0.32007772106898397,0.18158378226713753,0.09736048679188543,0.07943004572836959,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
05A,DKLM350C,selected15,41,0.0,dense,960.0,high,1033.878048780488,370.2861862885214,2016.0,0.024390243902439025,0.3285805955113732,0.011589753724141031,0.48210780538252834,0.4005645149555777,0.39975878325593467,0.3276595566841273,0.2549749756259936,0,1,0,mixed,small,6,16,10,1,24,32
05A,DOPQ001K009,selected15,41,0.0,dense,951.0,high,992.6341463414634,264.5896592931743,1765.0,0.024390243902439025,0.41311143916861387,5.368600755520467e-24,-0.06877888783612406,0.2128801309381478,0.011902425703850972,0.20777911493109472,0.13320170504568155,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
05A,DOPQ004K009,selected15,41,0.0,dense,777.0,high,767.829268292683,175.04897920853816,1334.0,0.024390243902439025,0.04368934908701703,0.001621686859318239,-0.15773051525125162,0.4028795707712323,-0.19517007054897278,0.21035456604440525,0.24208242478678801,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
