periode,area,cabang,sku,qty,imputed,is_active,train_start,nz_last,is_train,is_test,event_flag,holiday_count,event_flag_lag1,holiday_count_lag1,rainfall_lag1,qty_lag1,qty_lag2,qty_lag3,qty_lag4,qty_lag5,qty_lag6,qty_lag7,qty_lag8,qty_lag9,qty_lag10,qty_lag11,qty_lag12,qty_rollmean_3,qty_rollstd_3,qty_rollmean_6,qty_rollstd_6,qty_rollmean_12,qty_rollstd_12,spike_flag,sample_weight,month,year,qtr,selected15,eligible_model,alive_recent
2021-01-01,1A,02A,BNOP400CHAR,412.0,0,1,2021-01-01,2024-05-01,1,0,0,1,,,0.0,,,,,,,,,,,,,,,,,,,0,1.0,1,2021,1,1,1,1
2021-02-01,1A,02A,BNOP400CHAR,441.0,0,1,2021-01-01,2024-05-01,1,0,0,1,0.0,1.0,0.0,412.0,,,,,,,,,,,,412.0,,412.0,,412.0,,0,1.0,2,2021,1,1,1,1
2021-03-01,1A,02A,BNOP400CHAR,1760.0,0,1,2021-01-01,2024-05-01,1,0,0,4,0.0,1.0,0.0,441.0,412.0,,,,,,,,,,,426.5,20.50609665440988,426.5,20.50609665440988,426.5,20.50609665440988,0,1.0,3,2021,1,1,1,1
2021-04-01,1A,02A,BNOP400CHAR,502.0,0,1,2021-01-01,2024-05-01,1,0,0,3,0.0,4.0,0.0,1760.0,441.0,412.0,,,,,,,,,,871.0,770.0331161709865,871.0,770.0331161709865,871.0,770.0331161709865,0,1.0,4,2021,2,1,1,1
2021-05-01,1A,02A,BNOP400CHAR,228.0,0,1,2021-01-01,2024-05-01,1,0,0,5,0.0,3.0,0.0,502.0,1760.0,441.0,412.0,,,,,,,,,901.0,744.540798076237,778.75,655.2411133824454,778.75,655.2411133824454,0,1.0,5,2021,2,1,1,1
2021-06-01,1A,02A,BNOP400CHAR,1555.0,0,1,2021-01-01,2024-05-01,1,0,1,1,0.0,5.0,0.0,228.0,502.0,1760.0,441.0,412.0,,,,,,,,830.0,816.9724597561413,668.6,618.6039120471193,668.6,618.6039120471193,0,1.0,6,2021,2,1,1,1
2021-07-01,1A,02A,BNOP400CHAR,373.0,0,1,2021-01-01,2024-05-01,1,0,0,1,1.0,1.0,0.0,1555.0,228.0,502.0,1760.0,441.0,412.0,,,,,,,761.6666666666666,700.5728608312867,816.3333333333334,661.1259083311337,816.3333333333334,661.1259083311337,0,1.0,7,2021,3,1,1,1
2021-08-01,1A,02A,BNOP400CHAR,504.0,0,1,2021-01-01,2024-05-01,1,0,0,2,0.0,1.0,0.0,373.0,1555.0,228.0,502.0,1760.0,441.0,412.0,,,,,,718.6666666666666,727.905442577079,809.8333333333334,666.0694908691335,753.0,626.3524034705489,0,1.0,8,2021,3,1,1,1
2021-09-01,1A,02A,BNOP400CHAR,1452.0,0,1,2021-01-01,2024-05-01,1,0,0,0,0.0,2.0,0.0,504.0,373.0,1555.0,228.0,502.0,1760.0,441.0,412.0,,,,,810.6666666666666,647.9308090632311,820.3333333333334,659.5570230591641,721.875,586.5339930472912,0,1.0,9,2021,3,1,1,1
2021-10-01,1A,02A,BNOP400CHAR,393.0,0,1,2021-01-01,2024-05-01,1,0,0,1,0.0,0.0,0.0,1452.0,504.0,373.0,1555.0,228.0,502.0,1760.0,441.0,412.0,,,,776.3333333333334,588.7990602347571,769.0,578.8429838911411,803.0,600.208921959679,0,1.0,10,2021,4,1,1,1
