cabang,sku,n_train,adf_stat,adf_pvalue,kpss_stat,kpss_pvalue,adf_stationary,kpss_stationary,suggest_d
02A,BNOP400CHAR,41,-3.0570005170610965,0.029903368078615808,0.27908718937339,0.1,True,True,0
02A,BNOP400CPOX,41,-3.0570005170610965,0.029903368078615808,0.27908718937339,0.1,True,True,0
02A,BUVW001K194,41,-1.1435677565400664,0.6973887320302117,0.6228923236520244,0.020555243304361415,False,False,1
02A,BUVW001KSB,41,-7.923590496915804,3.668697994935248e-12,0.2581174330564523,0.1,True,True,0
02A,BUVW001KSBM,41,-7.9994033048319295,2.3560521965713007e-12,0.39089243699812926,0.08108084612149602,True,True,0
02A,BUVW001KSW,41,-1.6463805152819664,0.45892877024949175,0.5033864560276428,0.040903951345125505,False,False,1
02A,BUVW100C192,41,-2.9500105368081595,0.03983389986529803,0.3331336720916651,0.1,True,True,0
02A,BUVW100CSB,41,-4.94279258517931,2.8767975011747955e-05,0.7103461258705918,0.01260489764812802,True,False,1
02A,BUVW100CSW,41,-1.8162895811428954,0.3724048827063033,0.6124186223085091,0.021507397971953716,False,False,1
02A,CKLM001KS607,41,-8.05612375205316,1.6907180841896288e-12,0.47821678114214167,0.04657279704005819,True,False,1
02A,CKLM001KSPOL,41,-3.9146139066335226,0.0019298907456533712,0.4185773290051426,0.06914770301502474,True,True,0
02A,DOPQ001K001,41,-7.991788936856061,2.4632999236653636e-12,0.1783922263747492,0.1,True,True,0
02A,DOPQ001K009,41,-2.9286984725212784,0.04211109126125875,0.054684013191382205,0.1,True,True,0
02A,FSTU001KSB,41,-2.2775143198435646,0.17932262644778402,0.1745496003204645,0.1,False,True,1
02A,FSTU001KSW,41,-2.9753068496869046,0.03726566665142515,0.14016420237524177,0.1,True,True,0
05A,BBCD005KSW,41,-2.0128989592475017,0.2809461511599059,0.8271634362759311,0.01,False,False,1
05A,BUVW001K194,41,-1.5795316209762311,0.4938667575688104,0.9355916926507487,0.01,False,False,1
05A,BUVW001KSB,41,-4.598847871693282,0.00012980271507792134,0.712113150227291,0.012444259070246268,True,False,1
05A,BUVW001KSW,41,-4.21499303179246,0.000621435468917767,0.7417970421169781,0.01,True,False,1
05A,BUVW100C192,41,-4.696889588513686,8.52922834952989e-05,0.21265415684598593,0.1,True,True,0
05A,BUVW100CSB,41,-6.631081025844824,5.712927465747053e-09,0.7668625182343954,0.01,True,False,1
05A,BUVW100CSW,41,-4.971904520273064,2.521712550991965e-05,0.37551932619301737,0.08770718698576838,True,True,0
05A,CKLM001KS600,41,-1.5049232270873423,0.5310744981989848,0.8296823601467925,0.01,False,False,1
05A,CKLM001KS607,41,-2.2488678674144547,0.18898941687071058,0.6911181265076545,0.014352897590213229,False,False,1
05A,CKLM001KS610,41,-5.443139043179995,2.747712987483742e-06,0.7438958340720284,0.01,True,False,1
05A,DKLM350C,41,-1.1635930753867645,0.6890577977110796,1.0279323281059196,0.01,False,False,1
05A,DOPQ001K009,41,-3.1426364690704114,0.0235546202531771,0.6196252086586849,0.020852253758301374,True,False,1
05A,DOPQ004K009,41,-2.859612218287004,0.05025016112784863,0.2765243901567417,0.1,False,True,1
05A,FIJK250C,41,-4.757501204264716,6.553558356656674e-05,0.6517460140768676,0.01793218053846658,True,False,1
05A,FSTU001KSW,41,-0.979111220277396,0.7608065622752098,0.9828001372284733,0.01,False,False,1
13A,BBCD005KSW,41,-1.645727995628616,0.4592693428376196,0.7857382745561167,0.01,False,False,1
13A,BUVW001KSB,41,-7.061388460412872,5.212682204717206e-10,0.278365257010082,0.1,True,True,0
13A,BUVW001KSW,41,-7.342794359121221,1.0544078984590883e-10,0.5144871731405122,0.038403789833217974,True,False,1
13A,BUVW100CSB,41,-5.321037039924808,4.952161397796292e-06,0.06963267836783876,0.1,True,True,0
13A,BUVW100CSW,41,-4.863569002462172,4.103917868625641e-05,0.07897445184477792,0.1,True,True,0
13A,DKLM350C,41,-0.3715416293927482,0.9147429734685772,0.8589005205656988,0.01,False,False,1
13A,DOPQ001K002,41,-6.720499138356399,3.493020486948046e-09,0.05640236927315921,0.1,True,True,0
13A,DOPQ001K009,41,-4.095013487773412,0.000987070001010845,0.19174279088448282,0.1,True,True,0
13A,DOPQ004K002,41,-6.060825340642168,1.213796840788986e-07,0.22606722686732392,0.1,True,True,0
13A,FSTU001KSW,41,-6.872449989604712,1.5035672530703778e-09,0.21792149556457363,0.1,True,True,0
13I,BBCD005KSW,41,-1.7115259430785066,0.42518396222580607,0.8368342017149123,0.01,False,False,1
13I,BUVW001KSB,41,-8.724303590597716,3.320487091458779e-14,0.10807392687014164,0.1,True,True,0
13I,BUVW001KSW,41,-8.683818444658787,4.21578188351289e-14,0.24074996702414408,0.1,True,True,0
13I,BUVW100CSB,41,-7.269295208309218,1.6040541288592453e-10,0.6136931285370075,0.02139153376936295,True,False,1
13I,BUVW200CSB,41,-7.531682038553955,3.564832328451533e-11,0.7070876677400216,0.012901121114543487,True,False,1
13I,BUVW200CSW,41,-3.3454872003870646,0.012963661569078746,0.5930712253880706,0.02326625223744813,True,False,1
13I,BUVW500CSB,41,-6.855483571349466,1.652639965341491e-09,0.5743551526976507,0.02496771339112266,True,False,1
13I,BUVW500CSW,41,-6.536134503719977,9.59856881985793e-09,0.682849354812568,0.01510460410794836,True,False,1
13I,CFGH001K711,41,-7.573605097091297,2.799125214434552e-11,0.5000000000000009,0.04166666666666647,True,False,1
13I,CFGH001K724,41,-7.9735347646643175,2.740623961771263e-12,0.2600868235141628,0.1,True,True,0
13I,DOPQ001K002,41,-8.181574185001798,8.104670069258196e-13,0.07874783267363504,0.1,True,True,0
13I,DOPQ001K009,41,-4.551371639643717,0.0001586227675464579,0.0918005552550032,0.1,True,True,0
13I,DOPQ004K002,41,-10.108282007642739,1.0161632161910719e-17,0.19502179154836188,0.1,True,True,0
13I,DOPQ004K009,41,-10.2228176470793,5.2701647484693954e-18,0.041866036822271385,0.1,True,True,0
13I,FIJK250C,41,-7.700632865830041,1.3422895896337123e-11,0.2224323209888004,0.1,True,True,0
14A,BBCD005KSW,41,-2.829852318791624,0.05413447714704372,0.5306179176571314,0.034770739266411846,False,False,1
14A,BUVW001KSB,41,-8.433427611126874,1.8437707071080886e-13,0.5888632183225063,0.023648798334317604,True,False,1
14A,BUVW001KSW,41,-8.56893935063398,8.298556515499296e-14,0.5407733076610792,0.03248348926552269,True,False,1
14A,BUVW050CSB,41,-9.937162764993156,2.724341416652186e-17,0.34582866610850505,0.1,True,True,0
14A,BUVW100C192,41,-5.33168929945796,4.705951608008963e-06,0.2842066952451121,0.1,True,True,0
14A,BUVW100CSB,41,-2.653865966943866,0.08236729327101705,0.5834093523185924,0.024144604334673418,False,False,1
14A,BUVW100CSW,41,-5.244999230510311,7.110789021691209e-06,0.5080460463804966,0.039854494058446724,True,False,1
14A,BUVW200CSB,41,-2.446087250991938,0.12914871894087349,0.5636341283564091,0.02733465577558352,False,False,1
14A,BUVW200CSW,41,-3.3552039833979563,0.012584115328104715,0.4393494008333069,0.06019422377874702,True,True,0
14A,DOPQ001K002,41,-3.9202299622835497,0.001890908515381769,0.08059498715384028,0.1,True,True,0
14A,DOPQ001K007,41,-3.10564209286181,0.02613845617476431,0.12453406613571259,0.1,True,True,0
14A,DOPQ001K009,41,-3.1868455843986228,0.0207588468401625,0.3344930645254835,0.1,True,True,0
14A,DOPQ001K010,41,-3.8907588280369754,0.0021039195146464857,0.12352271740034074,0.1,True,True,0
14A,DOPQ004K009,41,-7.7408266125369245,1.0630850552893708e-11,0.546683044312196,0.031152467497253138,True,False,1
14A,FIJK250C,41,-9.043085891957732,5.0712893503369175e-15,0.10766364248660125,0.1,True,True,0
16C,ATUV005KSW,41,-1.0055228363286082,0.7512446473965917,0.3565041029307156,0.0959034039091743,False,True,1
16C,BKLM001KHAR,41,-8.319211343802866,3.610670254094325e-13,0.11530326268307438,0.1,True,True,0
16C,BKLM001KPOX,41,-8.319211343802866,3.610670254094325e-13,0.11530326268307438,0.1,True,True,0
16C,BKLM200CHAR,41,-8.766441207377671,2.5899415802676138e-14,0.22350217337476655,0.1,True,True,0
16C,BKLM200CPOX,41,-8.766441207377671,2.5899415802676138e-14,0.22350217337476655,0.1,True,True,0
16C,BNOP400CPOX,41,-7.499651306832775,4.287081862047788e-11,0.10896462043341704,0.1,True,True,0
16C,BUVW001KSB,41,-9.662041018834774,1.345449560486708e-16,0.2022127479174278,0.1,True,True,0
16C,BUVW001KSW,41,-6.073543458457197,1.1357365085226827e-07,0.26900140066286093,0.1,True,True,0
16C,CFGH001K711,41,-6.103779228888819,9.693974789888988e-08,0.31768661935353526,0.1,True,True,0
16C,CKLM001KS600,41,-1.757308422628998,0.40185322954492064,0.2196670455608222,0.1,False,True,1
16C,DOPQ001K002,41,-7.378152935529843,8.612590550578083e-11,0.05263834343746745,0.1,True,True,0
16C,DOPQ001K009,41,-8.530676906907818,1.039753814403554e-13,0.2680306108302164,0.1,True,True,0
16C,DOPQ004K002,41,-3.17608455703991,0.02141140833944234,0.0816601131669747,0.1,True,True,0
16C,EVWX200CHAR,41,-10.555579227421239,7.968536437043126e-19,0.10909029255838605,0.1,True,True,0
16C,FIJK250C,41,-8.92120968794952,1.0399073976097298e-14,0.1047819274760625,0.1,True,True,0
17A,BKLM200CHAR,41,-2.2731089502633206,0.1807875759951259,0.6124804855643704,0.021501774039602687,False,False,1
17A,BUVW001KSW,41,-10.055512052226481,1.3764519221904796e-17,0.13291932688571356,0.1,True,True,0
17A,DOPQ001K002,41,-6.95273825747323,9.599602837506003e-10,0.2581671533505907,0.1,True,True,0
17A,DOPQ001K003,41,-5.617374288355813,1.166044460201889e-06,0.5367754646993071,0.03338390434700289,True,False,1
17A,DOPQ001K009,41,-7.912032846289289,3.9246461161449706e-12,0.19035875742390762,0.1,True,True,0
17A,DOPQ001K010,41,-8.356084749312789,2.9066930682079705e-13,0.09716050575116873,0.1,True,True,0
17A,DOPQ004K002,41,-8.327355126599395,3.4418288067614234e-13,0.07546110874662249,0.1,True,True,0
17A,DOPQ004K003,41,-8.018857299845832,2.1026993639938898e-12,0.1503037953022898,0.1,True,True,0
17A,DOPQ004K009,41,-8.919139792561582,1.0526728458825524e-14,0.10002864705635811,0.1,True,True,0
17A,DOPQ004K010,41,-9.552205683013607,2.5540460992283415e-16,0.1430512699635038,0.1,True,True,0
23A,AUVW001KA,41,0.7306177733720731,0.9904295053479031,0.8684663982919637,0.01,False,False,1
23A,AUVW001KASP,41,0.7274464566435268,0.9903699919611801,0.6350152044668581,0.019453163230285626,False,False,1
23A,BKLM200CHAR,41,0.027410622010418016,0.9607410688341105,0.43321368500041335,0.06283892887913219,False,True,1
23A,BKLM200CPOX,41,0.027410622010418016,0.9607410688341105,0.43321368500041335,0.06283892887913219,False,True,1
23A,BNOP400CHAR,41,-7.786543449023037,8.151125733329638e-12,0.10390111875508139,0.1,True,True,0
23A,BNOP400CPOX,41,-7.786543449023037,8.151125733329638e-12,0.10390111875508139,0.1,True,True,0
23A,BUVW001KSB,41,-9.245222774619933,1.5439100122406114e-15,0.4999999999999997,0.041666666666666734,True,False,1
23A,BUVW001KSW,41,-8.524504638624826,1.0782649141401465e-13,0.4037723000823758,0.07552918099897596,True,True,0
23A,BUVW200CSW,41,-1.368704239675081,0.5971843771055904,0.6974945504484751,0.013773222686502265,False,False,1
23A,FIJK250C,41,-5.834713735513276,3.900842914818552e-07,0.16639411110957167,0.1,True,True,0
29A,APQR005KSW,41,-7.880600585843092,4.714213516146773e-12,0.11412748272950239,0.1,True,True,0
29A,BKLM200CHAR,41,-1.8980738329033242,0.3329677823930349,0.723222229873267,0.011434342738793908,False,False,1
29A,BKLM200CPOX,41,-1.8980738329033242,0.3329677823930349,0.723222229873267,0.011434342738793908,False,False,1
29A,BNOP400CHAR,41,-1.868058215407496,0.3472334510487939,0.7648148631446537,0.01,False,False,1
29A,BNOP400CPOX,41,-1.868058215407496,0.3472334510487939,0.7648148631446537,0.01,False,False,1
29A,BUVW001K192,41,-2.5503869370290855,0.10369082518218647,0.6608128035772145,0.017107926947525953,False,False,1
29A,BUVW001K306,41,-6.066025788013357,1.1812615313117547e-07,0.6585160826817881,0.017316719756201082,True,False,1
29A,BUVW001KSB,41,-6.34749379297954,2.6606792498470195e-08,0.6051196418031519,0.022170941654258914,True,False,1
29A,BUVW001KSW,41,-5.988767857721598,1.7661037739565638e-07,0.7271362123186653,0.011078526152848607,True,False,1
29A,BUVW200CSB,41,-3.834364187762991,0.0025746577092083654,0.7815080766594402,0.01,True,False,1
29A,BUVW200CSW,41,-3.3307423912278984,0.013558981836411344,0.7420855867125993,0.01,True,False,1
29A,BVWX001KA,41,-1.859552977630811,0.3513211977468399,0.6670588181175889,0.016540107443855548,False,False,1
29A,BVWX001KBAS,41,-7.766520309062891,9.157119187008894e-12,0.13364040258729712,0.1,True,True,0
29A,FIJK250C,41,-7.971654984964568,2.770891441319447e-12,0.3870757439380495,0.0827259724404959,True,True,0
29A,FQRS001KLOO,41,-7.5877121100136655,2.5801642823746687e-11,0.8485441155179915,0.01,True,False,1
