cabang,sku,selected15
02A,BUVW001KSW,1
02A,DOPQ001K009,1
02A,BUVW100CSB,1
02A,BUVW100CSW,1
02A,FSTU001KSW,1
02A,BUVW001KSB,1
02A,CKLM001KS607,1
02A,DOPQ001K001,1
02A,BUVW100C192,1
02A,BNOP400CHAR,1
02A,BNOP400CPOX,1
02A,BUVW001KSBM,1
02A,FSTU001KSB,1
02A,CKLM001KSPOL,1
02A,BUVW001K194,1
05A,BUVW001KSW,1
05A,BBCD005KSW,1
05A,CKLM001KS607,1
05A,BUVW001KSB,1
05A,BUVW100CSW,1
05A,BUVW100CSB,1
05A,CKLM001KS600,1
05A,FSTU001KSW,1
05A,DOPQ001K009,1
05A,BUVW100C192,1
05A,DKLM350C,1
05A,CKLM001KS610,1
05A,DOPQ004K009,1
05A,FIJK250C,1
05A,BUVW001K194,1
13A,DOPQ001K002,1
13A,BUVW001KSW,1
13A,BUVW100CSB,1
13A,BBCD005KSW,1
13A,BUVW100CSW,1
13A,DOPQ004K002,1
13A,DOPQ001K009,1
13A,DKLM350C,1
13A,FSTU001KSW,1
13A,BUVW001KSB,1
13I,BUVW001KSW,1
13I,DOPQ001K002,1
13I,BUVW001KSB,1
13I,CFGH001K711,1
13I,DOPQ001K009,1
13I,CFGH001K724,1
13I,BUVW500CSW,1
13I,BUVW500CSB,1
13I,DOPQ004K002,1
13I,BUVW200CSB,1
13I,FIJK250C,1
13I,BUVW200CSW,1
13I,BUVW100CSB,1
13I,BBCD005KSW,1
13I,DOPQ004K009,1
14A,BUVW001KSW,1
14A,BUVW100CSB,1
14A,BUVW100CSW,1
14A,BUVW001KSB,1
14A,DOPQ001K009,1
14A,DOPQ001K002,1
14A,BUVW200CSW,1
14A,BBCD005KSW,1
14A,DOPQ001K010,1
14A,BUVW200CSB,1
14A,BUVW100C192,1
14A,BUVW050CSB,1
14A,DOPQ004K009,1
14A,DOPQ001K007,1
14A,FIJK250C,1
16C,BUVW001KSW,1
16C,DOPQ001K002,1
16C,EVWX200CHAR,1
16C,BKLM200CHAR,1
16C,BKLM200CPOX,1
16C,DOPQ004K002,1
16C,FIJK250C,1
16C,BUVW001KSB,1
16C,BKLM001KHAR,1
16C,BKLM001KPOX,1
16C,DOPQ001K009,1
16C,BNOP400CPOX,1
16C,ATUV005KSW,1
16C,CFGH001K711,1
16C,CKLM001KS600,1
17A,DOPQ001K002,1
17A,DOPQ004K002,1
17A,DOPQ001K003,1
17A,DOPQ004K009,1
17A,DOPQ001K009,1
17A,BUVW001KSW,1
17A,DOPQ004K010,1
17A,DOPQ001K010,1
17A,DOPQ004K003,1
17A,BKLM200CHAR,1
23A,BUVW001KSW,1
23A,BKLM200CHAR,1
23A,BKLM200CPOX,1
23A,BUVW001KSB,1
23A,BNOP400CHAR,1
23A,BNOP400CPOX,1
23A,AUVW001KASP,1
23A,AUVW001KA,1
23A,FIJK250C,1
23A,BUVW200CSW,1
29A,BUVW001KSW,1
29A,BVWX001KBAS,1
29A,BUVW001KSB,1
29A,APQR005KSW,1
29A,BUVW200CSW,1
29A,BUVW200CSB,1
29A,BKLM200CHAR,1
29A,BKLM200CPOX,1
29A,BVWX001KA,1
29A,BUVW001K306,1
29A,BNOP400CHAR,1
29A,BNOP400CPOX,1
29A,FQRS001KLOO,1
29A,FIJK250C,1
29A,BUVW001K192,1
