cabang,sku,n_train,n_zero,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max,scale_bucket,zero_bucket
02A,APQR005K102,41.0,19.0,0.4634146341463415,0.4634146341463415,0.04878048780487805,3.292682926829268,2.0,4.991211788929741,0.0,24.0,low,semi_sparse
02A,APQR005K104,41.0,18.0,0.43902439024390244,0.43902439024390244,0.04878048780487805,3.6341463414634148,3.0,5.0732440191704535,0.0,22.0,low,semi_sparse
02A,APQR005K405,40.0,17.0,0.425,0.425,0.025,3.825,4.0,4.471490888868138,0.0,16.0,low,semi_sparse
02A,APQR005K503,41.0,2.0,0.04878048780487805,0.04878048780487805,0.04878048780487805,29.317073170731707,26.0,20.792353191005393,0.0,88.0,medium,dense
02A,APQR005K504,41.0,4.0,0.0975609756097561,0.0975609756097561,0.04878048780487805,10.902439024390244,8.0,9.134563147870784,0.0,39.0,medium,dense
02A,APQR005K602,41.0,11.0,0.2682926829268293,0.2682926829268293,0.04878048780487805,7.048780487804878,4.0,7.880200566965905,0.0,36.0,low,semi_sparse
02A,APQR005K603,41.0,13.0,0.3170731707317073,0.3170731707317073,0.0,5.609756097560975,4.0,5.7483825933060855,0.0,20.0,low,semi_sparse
02A,APQR005K801,41.0,16.0,0.3902439024390244,0.3902439024390244,0.0,5.073170731707317,4.0,5.671817362638007,0.0,20.0,low,semi_sparse
02A,APQR005KBA,41.0,0.0,0.0,0.0,0.024390243902439025,124.29268292682927,102.0,79.1467762775083,23.0,374.0,high,dense
02A,APQR005KBB,41.0,0.0,0.0,0.0,0.0,119.04878048780488,104.0,71.54053089665751,24.0,296.0,high,dense
02A,APQR005KBC,41.0,0.0,0.0,0.0,0.024390243902439025,99.4390243902439,84.0,67.41700407927061,20.0,308.0,high,dense
02A,APQR005KSW,41.0,0.0,0.0,0.0,0.024390243902439025,114.14634146341463,96.0,70.46508389820087,30.0,324.0,high,dense
02A,APQR020KPBA,41.0,0.0,0.0,0.0,0.0,54.68292682926829,50.0,28.761466430269376,17.0,116.0,high,dense
02A,APQR020KPBB,41.0,0.0,0.0,0.0,0.0,34.58536585365854,36.0,20.301447743641457,2.0,83.0,medium,dense
02A,APQR020KPBC,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,16.51219512195122,13.0,13.840379241949101,0.0,78.0,medium,dense
02A,APQR020KPSW,41.0,0.0,0.0,0.0,0.07317073170731707,30.609756097560975,24.0,25.134516156851408,2.0,122.0,medium,dense
02A,AQRS001K,41.0,0.0,0.0,0.0,0.024390243902439025,115.73170731707317,104.0,71.7920693357713,24.0,364.0,high,dense
02A,AQRS005K,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,28.048780487804876,24.0,18.259177445208472,0.0,79.0,medium,dense
02A,ARST005KBA,41.0,4.0,0.0975609756097561,0.0975609756097561,0.04878048780487805,25.658536585365855,16.0,25.564242367120485,0.0,125.0,medium,dense
02A,ARST025KPBA,40.0,1.0,0.025,0.025,0.0,12.325,10.5,8.428850029542156,0.0,35.0,medium,dense
02A,ARST025KPBB,40.0,10.0,0.25,0.225,0.025,2.625,2.0,2.6281269531838225,0.0,10.0,low,semi_sparse
02A,ARST025KPBC,39.0,19.0,0.48717948717948717,0.48717948717948717,0.05128205128205128,1.358974358974359,1.0,2.032462590931445,0.0,8.0,low,semi_sparse
02A,ATUV005K660,41.0,9.0,0.21951219512195122,0.21951219512195122,0.07317073170731707,6.975609756097561,4.0,6.501875901914957,0.0,24.0,low,semi_sparse
02A,ATUV005K661,41.0,9.0,0.21951219512195122,0.21951219512195122,0.024390243902439025,9.414634146341463,8.0,7.648449547967541,0.0,36.0,medium,semi_sparse
02A,ATUV005K663,41.0,8.0,0.1951219512195122,0.1951219512195122,0.024390243902439025,10.658536585365853,8.0,9.28334464537852,0.0,36.0,medium,dense
02A,ATUV005K681,41.0,9.0,0.21951219512195122,0.21951219512195122,0.0,9.560975609756097,8.0,8.215986795534073,0.0,32.0,medium,semi_sparse
02A,ATUV005K683,40.0,28.0,0.7,0.7,0.025,2.05,0.0,3.3964536557853156,0.0,11.0,low,sparse
02A,ATUV005K685,41.0,14.0,0.34146341463414637,0.34146341463414637,0.0,5.365853658536586,4.0,5.228556672548245,0.0,19.0,low,semi_sparse
02A,ATUV005K686,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,15.317073170731707,13.0,9.918263518354017,0.0,39.0,medium,dense
02A,ATUV005K690,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,15.902439024390244,16.0,10.319411024978075,0.0,40.0,medium,dense
02A,ATUV005K691,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,12.75609756097561,12.0,8.80846322523083,0.0,39.0,medium,dense
02A,ATUV005K694,39.0,13.0,0.3333333333333333,0.3333333333333333,0.0,4.0,4.0,3.9202577788496993,0.0,12.0,low,semi_sparse
02A,ATUV005KSW,41.0,0.0,0.0,0.0,0.024390243902439025,130.02439024390245,104.0,98.6162988062516,58.0,674.0,high,dense
02A,ATUV020KP663,39.0,25.0,0.6410256410256411,0.6410256410256411,0.0,0.9230769230769231,0.0,1.421352494977849,0.0,5.0,low,sparse
02A,ATUV020KPSW,41.0,0.0,0.0,0.0,0.07317073170731707,43.24390243902439,32.0,35.42723563009459,6.0,184.0,medium,dense
02A,AVWX004KRP,41.0,0.0,0.0,0.0,0.024390243902439025,144.4390243902439,140.0,81.43004629142973,14.0,404.0,high,dense
02A,AVWX021KPRP,41.0,0.0,0.0,0.0,0.0,46.73170731707317,41.0,25.68854257275401,7.0,110.0,medium,dense
02A,AXYZ001K,41.0,12.0,0.2926829268292683,0.2926829268292683,0.07317073170731707,16.70731707317073,6.0,49.13208926070568,0.0,316.0,medium,semi_sparse
02A,AYZA100C,41.0,0.0,0.0,0.0,0.024390243902439025,452.1951219512195,396.0,202.23540979662724,168.0,1020.0,high,dense
02A,BBCD001K675,41.0,22.0,0.5365853658536586,0.5365853658536586,0.04878048780487805,2.6097560975609757,0.0,3.513389024720204,0.0,15.0,low,sparse
02A,BBCD001K680,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,18.5609756097561,18.0,12.655134887641074,0.0,54.0,medium,dense
02A,BBCD001K700,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,16.146341463414632,12.0,13.677647779515592,0.0,65.0,medium,dense
02A,BBCD001K710,41.0,16.0,0.3902439024390244,0.3902439024390244,0.12195121951219512,7.219512195121951,3.0,10.218884956593726,0.0,48.0,low,semi_sparse
02A,BBCD001K735,41.0,5.0,0.12195121951219512,0.12195121951219512,0.04878048780487805,17.121951219512194,12.0,14.6683249247336,0.0,56.0,medium,dense
02A,BBCD001K755,41.0,2.0,0.04878048780487805,0.04878048780487805,0.04878048780487805,16.609756097560975,12.0,12.642938837114746,0.0,60.0,medium,dense
02A,BBCD001K770,41.0,10.0,0.24390243902439024,0.24390243902439024,0.04878048780487805,14.512195121951219,9.0,19.046157028675772,0.0,95.0,medium,semi_sparse
02A,BBCD001K771,41.0,7.0,0.17073170731707318,0.17073170731707318,0.024390243902439025,16.951219512195124,16.0,14.546393400964025,0.0,59.0,medium,dense
02A,BBCD001KSB,41.0,0.0,0.0,0.0,0.0,35.65853658536585,24.0,28.469817136835953,3.0,99.0,medium,dense
02A,BBCD001KSW,41.0,0.0,0.0,0.0,0.0,126.0,115.0,70.82548976180821,28.0,310.0,high,dense
02A,BBCD005K040,41.0,0.0,0.0,0.0,0.024390243902439025,40.609756097560975,35.0,29.819354494003125,4.0,143.0,medium,dense
02A,BBCD005K522,41.0,1.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,30.21951219512195,24.0,25.182843559774927,0.0,122.0,medium,dense
02A,BBCD005K601,41.0,0.0,0.0,0.0,0.0975609756097561,46.26829268292683,32.0,36.59714769640108,8.0,142.0,medium,dense
02A,BBCD005K602,41.0,2.0,0.04878048780487805,0.024390243902439025,0.07317073170731707,18.29268292682927,12.0,15.871742031735245,0.0,64.0,medium,dense
02A,BBCD005K621,40.0,21.0,0.525,0.525,0.025,2.3,0.0,2.95435358889303,0.0,12.0,low,sparse
02A,BBCD005K670,41.0,1.0,0.024390243902439025,0.024390243902439025,0.07317073170731707,22.51219512195122,20.0,16.235950774776807,0.0,66.0,medium,dense
02A,BBCD005K671,41.0,3.0,0.07317073170731707,0.07317073170731707,0.0,13.975609756097562,12.0,11.09614303458199,0.0,43.0,medium,dense
02A,BBCD005K675,41.0,1.0,0.024390243902439025,0.024390243902439025,0.07317073170731707,18.26829268292683,12.0,14.919826390149288,0.0,57.0,medium,dense
02A,BBCD005K680,41.0,0.0,0.0,0.0,0.07317073170731707,36.24390243902439,26.0,29.585283915998573,2.0,124.0,medium,dense
02A,BBCD005K700,41.0,0.0,0.0,0.0,0.04878048780487805,31.536585365853657,20.0,23.74246992308889,4.0,112.0,medium,dense
02A,BBCD005K710,41.0,3.0,0.07317073170731707,0.07317073170731707,0.07317073170731707,37.31707317073171,24.0,39.21316043396033,0.0,196.0,medium,dense
02A,BBCD005K711,41.0,3.0,0.07317073170731707,0.07317073170731707,0.0975609756097561,17.5609756097561,12.0,15.967230161314461,0.0,66.0,medium,dense
02A,BBCD005K712,41.0,3.0,0.07317073170731707,0.07317073170731707,0.07317073170731707,21.463414634146343,16.0,20.169404504069536,0.0,78.0,medium,dense
02A,BBCD005K720,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,25.609756097560975,20.0,22.780340261704264,0.0,107.0,medium,dense
02A,BBCD005K730,41.0,14.0,0.34146341463414637,0.34146341463414637,0.024390243902439025,4.414634146341464,4.0,4.852708572313495,0.0,22.0,low,semi_sparse
02A,BBCD005K740,41.0,11.0,0.2682926829268293,0.2682926829268293,0.04878048780487805,12.414634146341463,6.0,15.16406213676945,0.0,68.0,medium,semi_sparse
02A,BBCD005K745,41.0,1.0,0.024390243902439025,0.024390243902439025,0.07317073170731707,46.02439024390244,32.0,50.68307794761386,0.0,274.0,medium,dense
02A,BBCD005K752,41.0,7.0,0.17073170731707318,0.17073170731707318,0.024390243902439025,11.902439024390244,12.0,10.148410905281624,0.0,46.0,medium,dense
02A,BBCD005K755,41.0,0.0,0.0,0.0,0.0975609756097561,79.51219512195122,52.0,76.68543601989217,8.0,386.0,high,dense
02A,BBCD005K765,41.0,0.0,0.0,0.0,0.07317073170731707,43.8780487804878,28.0,47.562692902079895,8.0,264.0,medium,dense
02A,BBCD005K770,41.0,0.0,0.0,0.0,0.0975609756097561,129.0,60.0,182.02197669512327,10.0,1040.0,high,dense
02A,BBCD005K771,41.0,0.0,0.0,0.0,0.0975609756097561,75.04878048780488,48.0,87.04882285806977,8.0,498.0,medium,dense
02A,BBCD005K772,41.0,0.0,0.0,0.0,0.0975609756097561,40.8780487804878,24.0,50.709562767761675,4.0,264.0,medium,dense
02A,BBCD005K775,41.0,4.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,30.536585365853657,22.0,27.637020064557984,0.0,100.0,medium,dense
02A,BBCD005K776,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,23.170731707317074,16.0,22.667049255499037,0.0,92.0,medium,dense
02A,BBCD005K816,41.0,7.0,0.17073170731707318,0.17073170731707318,0.0,8.390243902439025,6.0,7.419157798498722,0.0,28.0,medium,dense
02A,BBCD005K818,41.0,14.0,0.34146341463414637,0.34146341463414637,0.0,5.414634146341464,4.0,5.352455556826687,0.0,20.0,low,semi_sparse
02A,BBCD005K831,41.0,5.0,0.12195121951219512,0.12195121951219512,0.024390243902439025,15.609756097560975,14.0,12.208353797258022,0.0,50.0,medium,dense
02A,BBCD005K892,41.0,4.0,0.0975609756097561,0.0975609756097561,0.0,8.24390243902439,5.0,6.602198451292107,0.0,24.0,medium,dense
02A,BBCD005KA44195,39.0,19.0,0.48717948717948717,0.48717948717948717,0.02564102564102564,2.871794871794872,2.0,3.365298822889496,0.0,12.0,low,semi_sparse
02A,BBCD005KAT1,41.0,4.0,0.0975609756097561,0.0975609756097561,0.07317073170731707,16.804878048780488,12.0,15.13641224365127,0.0,60.0,medium,dense
02A,BBCD005KBA,41.0,0.0,0.0,0.0,0.024390243902439025,166.4390243902439,130.0,112.55555267966298,36.0,524.0,high,dense
02A,BBCD005KBB,41.0,0.0,0.0,0.0,0.024390243902439025,105.02439024390245,84.0,69.73323734234559,8.0,332.0,high,dense
02A,BBCD005KBC,41.0,0.0,0.0,0.0,0.0,75.04878048780488,56.0,48.93564713964259,16.0,182.0,high,dense
02A,BBCD005KMW,41.0,0.0,0.0,0.0,0.04878048780487805,44.73170731707317,36.0,30.477880823840017,12.0,134.0,medium,dense
02A,BBCD005KPS8,41.0,24.0,0.5853658536585366,0.5853658536585366,0.04878048780487805,1.9268292682926829,0.0,2.6114195746991617,0.0,8.0,low,sparse
02A,BBCD005KSB,41.0,2.0,0.04878048780487805,0.04878048780487805,0.04878048780487805,15.439024390243903,13.0,10.404443234714208,0.0,44.0,medium,dense
02A,BBCD005KSW,41.0,0.0,0.0,0.0,0.0975609756097561,421.9756097560976,311.0,309.36260987754144,70.0,1370.0,high,dense
02A,BBCD025KP040,41.0,6.0,0.14634146341463414,0.14634146341463414,0.0,4.585365853658536,4.0,3.8534115388581163,0.0,14.0,low,dense
02A,BBCD025KP522,41.0,13.0,0.3170731707317073,0.3170731707317073,0.024390243902439025,1.4634146341463414,1.0,1.3619390767506774,0.0,6.0,low,semi_sparse
02A,BBCD025KP601,41.0,6.0,0.14634146341463414,0.14634146341463414,0.024390243902439025,2.4390243902439024,2.0,2.1569513263841267,0.0,12.0,low,dense
02A,BBCD025KP675,38.0,24.0,0.631578947368421,0.631578947368421,0.05263157894736842,0.8947368421052632,0.0,1.6892261731370903,0.0,7.0,low,sparse
02A,BBCD025KP680,41.0,25.0,0.6097560975609756,0.6097560975609756,0.04878048780487805,0.7560975609756098,0.0,1.260565107498975,0.0,5.0,low,sparse
02A,BBCD025KP710,40.0,14.0,0.35,0.35,0.1,2.0,1.0,2.4806946917841692,0.0,9.0,low,semi_sparse
02A,BBCD025KP755,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,8.146341463414634,5.0,7.682971351013083,0.0,33.0,medium,dense
02A,BBCD025KP770,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0975609756097561,9.414634146341463,6.0,9.022127270649914,0.0,35.0,medium,dense
02A,BBCD025KP831,41.0,12.0,0.2926829268292683,0.2926829268292683,0.024390243902439025,1.975609756097561,1.0,3.094251160442933,0.0,19.0,low,semi_sparse
02A,BBCD025KP900,41.0,19.0,0.4634146341463415,0.4634146341463415,0.024390243902439025,1.2682926829268293,1.0,1.6586800511838085,0.0,7.0,low,semi_sparse
02A,BBCD025KPBA,41.0,0.0,0.0,0.0,0.0,75.8048780487805,62.0,53.01519570471994,9.0,200.0,high,dense
02A,BBCD025KPBB,41.0,0.0,0.0,0.0,0.024390243902439025,24.926829268292682,22.0,18.021362661994292,2.0,80.0,medium,dense
02A,BBCD025KPBC,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,11.731707317073171,9.0,8.611110236908777,0.0,35.0,medium,dense
02A,BBCD025KPMW,41.0,2.0,0.04878048780487805,0.04878048780487805,0.0,6.658536585365853,6.0,4.57498500597303,0.0,18.0,medium,dense
02A,BBCD025KPSW,41.0,0.0,0.0,0.0,0.024390243902439025,154.2439024390244,145.0,80.8902900501058,22.0,361.0,high,dense
02A,BCDE005KBA,41.0,3.0,0.07317073170731707,0.04878048780487805,0.04878048780487805,16.70731707317073,12.0,15.225379966422881,0.0,62.0,medium,dense
02A,BCDE005KBB,41.0,4.0,0.0975609756097561,0.0975609756097561,0.024390243902439025,17.51219512195122,16.0,13.151277411756457,0.0,58.0,medium,dense
02A,BCDE005KBC,41.0,0.0,0.0,0.0,0.07317073170731707,31.951219512195124,28.0,23.93005559909148,3.0,102.0,medium,dense
02A,BCDE025KPBA,41.0,4.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,7.439024390243903,4.0,8.080992452934865,0.0,34.0,low,dense
02A,BCDE025KPBC,40.0,2.0,0.05,0.05,0.0,5.875,5.0,4.176782591961524,0.0,16.0,medium,dense
02A,BKLM001KHAR,40.0,10.0,0.25,0.25,0.1,23.325,14.5,31.161603181166928,0.0,125.0,medium,semi_sparse
02A,BKLM001KPOX,40.0,10.0,0.25,0.25,0.1,23.325,14.5,31.161603181166928,0.0,125.0,medium,semi_sparse
02A,BKLM200CHAR,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0975609756097561,67.2439024390244,50.0,61.99224971228455,0.0,293.0,high,dense
02A,BKLM200CPOX,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0975609756097561,67.2439024390244,50.0,61.99224971228455,0.0,293.0,high,dense
02A,BNOP003KHAR,41.0,0.0,0.0,0.0,0.04878048780487805,70.1219512195122,40.0,63.108713788965474,6.0,288.0,medium,dense
02A,BNOP003KPOX,41.0,0.0,0.0,0.0,0.04878048780487805,70.1219512195122,40.0,63.108713788965474,6.0,288.0,medium,dense
02A,BNOP400CHAR,41.0,0.0,0.0,0.0,0.04878048780487805,756.1219512195122,483.0,762.5550863748124,95.0,4052.0,high,dense
02A,BNOP400CPOX,41.0,0.0,0.0,0.0,0.04878048780487805,756.1219512195122,483.0,762.5550863748124,95.0,4052.0,high,dense
02A,BPQR005KS001,41.0,19.0,0.4634146341463415,0.43902439024390244,0.12195121951219512,5.634146341463414,2.0,8.935200326688193,0.0,38.0,low,semi_sparse
02A,BPQR005KS002,41.0,9.0,0.21951219512195122,0.21951219512195122,0.024390243902439025,8.268292682926829,4.0,8.093282369483665,0.0,27.0,low,semi_sparse
02A,BPQR005KS003,41.0,13.0,0.3170731707317073,0.3170731707317073,0.07317073170731707,8.560975609756097,4.0,10.278737229075867,0.0,40.0,low,semi_sparse
02A,BPQR005KS006,39.0,21.0,0.5384615384615384,0.5384615384615384,0.05128205128205128,3.3333333333333335,0.0,4.595955506480003,0.0,14.0,low,sparse
02A,BSTU001K02,41.0,16.0,0.3902439024390244,0.3902439024390244,0.04878048780487805,8.878048780487806,6.0,11.638717974826994,0.0,48.0,medium,semi_sparse
02A,BSTU001K06,40.0,9.0,0.225,0.225,0.0,16.825,12.0,15.874326151658558,0.0,55.0,medium,semi_sparse
02A,BSTU001K08,41.0,4.0,0.0975609756097561,0.0975609756097561,0.0,22.24390243902439,12.0,18.049626710551216,0.0,54.0,medium,dense
02A,BTUV004K49,41.0,9.0,0.21951219512195122,0.21951219512195122,0.04878048780487805,7.926829268292683,6.0,7.457849032738728,0.0,28.0,medium,semi_sparse
02A,BTUV004K51,39.0,17.0,0.4358974358974359,0.4358974358974359,0.07692307692307693,5.871794871794871,4.0,8.423586831908949,0.0,37.0,low,semi_sparse
02A,BTUV004K61,37.0,20.0,0.5405405405405406,0.5405405405405406,0.10810810810810811,4.405405405405405,0.0,9.181683032173531,0.0,48.0,low,sparse
02A,BTUV004KBB,41.0,14.0,0.34146341463414637,0.34146341463414637,0.024390243902439025,6.512195121951219,4.0,7.480380843311094,0.0,36.0,low,semi_sparse
02A,BTUV004KBC,40.0,2.0,0.05,0.05,0.075,48.4,37.0,38.5571836401002,0.0,140.0,medium,dense
02A,BUVW001K160,41.0,0.0,0.0,0.0,0.024390243902439025,122.21951219512195,116.0,66.0698540164582,24.0,294.0,high,dense
02A,BUVW001K178,41.0,0.0,0.0,0.0,0.0,48.65853658536585,45.0,30.134373857853394,6.0,128.0,medium,dense
02A,BUVW001K179,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,31.097560975609756,26.0,22.767086855863646,0.0,90.0,medium,dense
02A,BUVW001K189,41.0,2.0,0.04878048780487805,0.04878048780487805,0.0,33.19512195121951,33.0,20.67754762078318,0.0,77.0,medium,dense
02A,BUVW001K190,41.0,0.0,0.0,0.0,0.024390243902439025,108.85365853658537,97.0,65.38866911614342,12.0,329.0,high,dense
02A,BUVW001K191,41.0,2.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,38.78048780487805,29.0,30.166630732584263,0.0,117.0,medium,dense
02A,BUVW001K192,41.0,0.0,0.0,0.0,0.024390243902439025,221.6341463414634,218.0,118.5195671814492,50.0,684.0,high,dense
02A,BUVW001K194,41.0,0.0,0.0,0.0,0.024390243902439025,712.9268292682926,701.0,377.378019381356,246.0,1872.0,high,dense
02A,BUVW001K198,41.0,0.0,0.0,0.0,0.0,58.65853658536585,53.0,38.94586611958807,9.0,154.0,high,dense
02A,BUVW001K199,41.0,0.0,0.0,0.0,0.024390243902439025,62.68292682926829,62.0,53.438955371709056,3.0,336.0,high,dense
02A,BUVW001K301,41.0,0.0,0.0,0.0,0.04878048780487805,239.8780487804878,206.0,120.10749250607792,65.0,619.0,high,dense
02A,BUVW001K303,41.0,0.0,0.0,0.0,0.024390243902439025,63.63414634146341,57.0,36.987670984776116,6.0,174.0,high,dense
02A,BUVW001K305,41.0,8.0,0.1951219512195122,0.1951219512195122,0.0975609756097561,13.707317073170731,8.0,15.848097523739284,0.0,66.0,medium,dense
02A,BUVW001K306,41.0,0.0,0.0,0.0,0.024390243902439025,187.4878048780488,160.0,97.40485664257699,57.0,446.0,high,dense
02A,BUVW001K309,41.0,0.0,0.0,0.0,0.0,202.90243902439025,184.0,94.56394790776471,59.0,421.0,high,dense
02A,BUVW001K310,41.0,2.0,0.04878048780487805,0.04878048780487805,0.0,38.36585365853659,38.0,23.516755832343218,0.0,105.0,medium,dense
02A,BUVW001K328,41.0,0.0,0.0,0.0,0.0,215.4390243902439,207.0,91.3895641691347,53.0,436.0,high,dense
02A,BUVW001K329,41.0,0.0,0.0,0.0,0.0975609756097561,163.4390243902439,133.0,89.97889996562743,56.0,387.0,high,dense
02A,BUVW001K330,41.0,0.0,0.0,0.0,0.04878048780487805,182.46341463414635,158.0,83.00093299505001,69.0,396.0,high,dense
02A,BUVW001K331,41.0,0.0,0.0,0.0,0.04878048780487805,303.0731707317073,269.0,154.01012795331067,94.0,722.0,high,dense
02A,BUVW001K333,41.0,0.0,0.0,0.0,0.0975609756097561,225.8048780487805,177.0,110.41993015579098,102.0,493.0,high,dense
02A,BUVW001K334,41.0,2.0,0.04878048780487805,0.04878048780487805,0.0,57.26829268292683,48.0,33.14590803571679,0.0,141.0,medium,dense
02A,BUVW001K370,41.0,0.0,0.0,0.0,0.024390243902439025,86.73170731707317,83.0,39.008988957831185,29.0,200.0,high,dense
02A,BUVW001K461,41.0,0.0,0.0,0.0,0.0,62.53658536585366,61.0,32.45542909974817,3.0,144.0,high,dense
02A,BUVW001K462,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,37.41463414634146,37.0,24.224961929542943,0.0,106.0,medium,dense
02A,BUVW001K465,41.0,0.0,0.0,0.0,0.0,104.2439024390244,98.0,46.671072672376454,24.0,216.0,high,dense
02A,BUVW001K466,41.0,0.0,0.0,0.0,0.0,95.1951219512195,91.0,46.325597412335185,22.0,208.0,high,dense
02A,BUVW001K470,41.0,1.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,52.926829268292686,42.0,42.351735645603966,0.0,173.0,medium,dense
02A,BUVW001K480,41.0,0.0,0.0,0.0,0.024390243902439025,228.9268292682927,194.0,140.23825980165012,30.0,853.0,high,dense
02A,BUVW001K631,41.0,0.0,0.0,0.0,0.0,79.39024390243902,69.0,41.44145150014686,12.0,177.0,high,dense
02A,BUVW001K642,41.0,4.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,49.8780487804878,21.0,94.20541256264185,0.0,400.0,medium,dense
02A,BUVW001K648,41.0,7.0,0.17073170731707318,0.17073170731707318,0.04878048780487805,19.658536585365855,13.0,19.998262119616246,0.0,91.0,medium,dense
02A,BUVW001K650,41.0,0.0,0.0,0.0,0.024390243902439025,118.4390243902439,106.0,66.39542483503205,6.0,294.0,high,dense
02A,BUVW001K651,41.0,0.0,0.0,0.0,0.0,44.170731707317074,44.0,28.734911204860534,6.0,110.0,medium,dense
02A,BUVW001K652,41.0,0.0,0.0,0.0,0.0,56.65853658536585,41.0,36.10997767660454,12.0,131.0,medium,dense
02A,BUVW001K657,41.0,0.0,0.0,0.0,0.024390243902439025,121.65853658536585,105.0,63.44785644767582,36.0,325.0,high,dense
02A,BUVW001K660,41.0,0.0,0.0,0.0,0.07317073170731707,107.0,91.0,60.578048829588425,28.0,335.0,high,dense
02A,BUVW001K662,41.0,0.0,0.0,0.0,0.04878048780487805,58.829268292682926,45.0,37.88000952944996,6.0,171.0,medium,dense
02A,BUVW001K670,41.0,0.0,0.0,0.0,0.0,87.60975609756098,91.0,38.1954696585737,18.0,154.0,high,dense
02A,BUVW001K671,41.0,0.0,0.0,0.0,0.0,118.0,113.0,60.486362099236885,25.0,265.0,high,dense
02A,BUVW001K731,41.0,0.0,0.0,0.0,0.0,77.6829268292683,81.0,35.08877243819613,12.0,159.0,high,dense
02A,BUVW001K732,41.0,0.0,0.0,0.0,0.0,68.92682926829268,65.0,37.622061509108214,6.0,165.0,high,dense
02A,BUVW001K733,41.0,0.0,0.0,0.0,0.07317073170731707,128.390243902439,110.0,100.83473559463042,18.0,507.0,high,dense
02A,BUVW001K750,41.0,0.0,0.0,0.0,0.024390243902439025,198.17073170731706,193.0,115.31064617784094,63.0,620.0,high,dense
02A,BUVW001K752,41.0,0.0,0.0,0.0,0.0,134.5121951219512,135.0,52.88294713384434,48.0,236.0,high,dense
02A,BUVW001K753,41.0,0.0,0.0,0.0,0.0,105.1951219512195,109.0,47.72641800522805,23.0,244.0,high,dense
02A,BUVW001K754,41.0,0.0,0.0,0.0,0.04878048780487805,42.09756097560975,36.0,29.227388591908767,4.0,126.0,medium,dense
02A,BUVW001K755,41.0,0.0,0.0,0.0,0.0,71.4390243902439,68.0,34.19798881549016,3.0,145.0,high,dense
02A,BUVW001K911,41.0,0.0,0.0,0.0,0.0,216.3658536585366,190.0,74.03842113982475,114.0,367.0,high,dense
02A,BUVW001K915,41.0,0.0,0.0,0.0,0.0,118.39024390243902,119.0,54.78315345468006,30.0,270.0,high,dense
