cabang,sku,dataset_label,n_train,zero_ratio,zero_bucket,qty_median,scale_bucket,qty_mean,qty_std,qty_max,spike_ratio,adf_level_p,adf_diff1_p,acf_lag1,acf_lag2,acf_lag3,acf_lag6,acf_lag12,seasonal_flag,sarimax_d_sug,sarimax_D_sug,sarimax_family,lgbm_size_bucket,lgbm_max_depth_sug,lgbm_num_leaves_sug,lgbm_min_data_in_leaf_sug,tft_use,tft_encoder_length_sug,tft_hidden_size_sug
02A,APQR005K102,full,41,0.4634146341463415,semi_sparse,2.0,low,3.292682926829268,4.991211788929741,24.0,0.04878048780487805,6.605408368544002e-13,1.0243658574640916e-05,-0.27916370166247184,0.020216751756317264,-0.0903303452458844,-0.02687666856108544,0.026210438088324493,0,0,0,mixed,small,5,16,10,1,24,8
02A,APQR005K104,full,41,0.43902439024390244,semi_sparse,3.0,low,3.6341463414634148,5.0732440191704535,22.0,0.04878048780487805,4.175723577701173e-10,0.0001277284879782691,-0.1400257712598448,-0.09360283368292106,0.22370378074782885,-0.1067265299518667,0.073351014960043,0,0,0,MA_or_low_AR,small,5,16,10,1,24,8
02A,APQR005K405,full,40,0.425,semi_sparse,4.0,low,3.825,4.471490888868138,16.0,0.025,4.544900525733723e-07,0.030189818708108457,-0.16890208714052135,-0.11341252284312783,0.1455972876791382,-0.10664454490077267,-0.08834920329582252,0,0,0,MA_or_low_AR,small,5,16,10,1,24,8
02A,APQR005K503,full,41,0.04878048780487805,dense,26.0,medium,29.317073170731707,20.792353191005393,88.0,0.04878048780487805,2.909386042627976e-05,0.00030818604802149597,0.211321844110053,0.21568974693876644,0.17784091878560104,0.0508615816643577,0.28856449657178174,0,0,0,mixed,small,5,16,10,1,24,16
02A,APQR005K504,full,41,0.0975609756097561,dense,8.0,medium,10.902439024390244,9.134563147870784,39.0,0.04878048780487805,3.901201949749126e-05,3.801212532588274e-06,0.16610112214157619,-0.1991916260198249,-0.06650860650755848,0.14111645939540032,0.1478151230848039,0,0,0,MA_or_low_AR,small,5,16,10,1,24,16
02A,APQR005K602,full,41,0.2682926829268293,semi_sparse,4.0,low,7.048780487804878,7.880200566965905,36.0,0.04878048780487805,0.0001044905423148132,4.101858976350109e-17,0.272033606039124,-0.05177921368765924,0.16205525645201466,-0.01917306918552294,0.026048991244036566,0,0,0,mixed,small,5,16,10,1,24,8
02A,APQR005K603,full,41,0.3170731707317073,semi_sparse,4.0,low,5.609756097560975,5.7483825933060855,20.0,0.0,3.731869356941158e-10,2.4870027556815735e-08,-0.14286691582593425,0.03438721942578154,-0.30334240676330604,0.07865619621652375,0.12151375056708942,0,0,0,MA_or_low_AR,small,5,16,10,1,24,8
02A,APQR005K801,full,41,0.3902439024390244,semi_sparse,4.0,low,5.073170731707317,5.671817362638007,20.0,0.0,4.247786454971594e-06,8.091479978977198e-12,0.1434811874560233,0.021258595390457484,0.06092614320889032,-0.02212587803121293,0.15143420625608509,0,0,0,MA_or_low_AR,small,5,16,10,1,24,8
02A,APQR005KBA,full,41,0.0,dense,102.0,high,124.29268292682927,79.1467762775083,374.0,0.024390243902439025,1.6488479861612682e-10,0.07490112011034421,-0.14635018362100327,-0.1536878894695111,0.24560214328380248,0.2719572825840779,0.33320395472018716,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
02A,APQR005KBB,full,41,0.0,dense,104.0,high,119.04878048780488,71.54053089665751,296.0,0.0,1.827792531676677e-08,1.044209683535836e-16,-0.024714561926956216,-0.06589548309580126,0.2573059500010691,0.21252333202449614,0.29240878932589964,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
02A,APQR005KBC,full,41,0.0,dense,84.0,high,99.4390243902439,67.41700407927061,308.0,0.024390243902439025,0.06196857435095043,2.7697855870644402e-17,-0.003734146516196336,-0.022808211029528586,0.24285993811589382,0.15761907082639226,0.2639706551363554,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
02A,APQR005KSW,full,41,0.0,dense,96.0,high,114.14634146341463,70.46508389820087,324.0,0.024390243902439025,2.989238872324444e-05,1.103891432503572e-11,0.2083586354487937,0.058007766035948156,0.17375075380690563,0.0811082572476749,-0.028076097517365606,0,0,0,mixed,small,6,16,10,1,24,32
02A,APQR020KPBA,full,41,0.0,dense,50.0,high,54.68292682926829,28.761466430269376,116.0,0.0,0.3171579977223361,2.6054788943385292e-14,0.210052805340812,0.14589513247216,0.35116259987612175,0.23907397098478525,0.0957830769054858,0,1,0,mixed,small,5,16,10,1,24,32
02A,APQR020KPBB,full,41,0.0,dense,36.0,medium,34.58536585365854,20.301447743641457,83.0,0.0,0.15561667067566104,0.5888678658847957,0.0014423976948772235,-0.16205978417836261,0.38168322719497544,0.5246221576938727,0.28035757664196914,0,0,0,MA_or_low_AR,small,5,16,10,1,24,16
02A,APQR020KPBC,full,41,0.024390243902439025,dense,13.0,medium,16.51219512195122,13.840379241949101,78.0,0.024390243902439025,0.16938030511832697,8.043676065773595e-17,0.0039351775651246075,-0.031085309643490898,0.32039500530735787,0.2913954500198443,0.0692624170123644,0,1,0,MA_or_low_AR,small,5,16,10,1,24,16
02A,APQR020KPSW,full,41,0.0,dense,24.0,medium,30.609756097560975,25.134516156851408,122.0,0.07317073170731707,4.881551634342831e-05,5.49513488801771e-09,0.2449334556855404,0.11799076520193993,0.07482025007497918,-0.003503140179752282,0.11728767944977288,0,0,0,mixed,small,5,16,10,1,24,16
02A,AQRS001K,full,41,0.0,dense,104.0,high,115.73170731707317,71.7920693357713,364.0,0.024390243902439025,0.0006941468938945751,9.030627328279184e-05,0.33457408282020357,0.11059593053897357,0.14047540951185022,0.22940259659226234,0.2599002481999126,0,0,0,mixed,small,6,16,10,1,24,32
02A,AQRS005K,full,41,0.024390243902439025,dense,24.0,medium,28.048780487804876,18.259177445208472,79.0,0.0,4.343086819877027e-06,1.6123938119099173e-09,-0.18613626440449701,-0.10887023315376652,0.041711549452190605,-0.02671421610077631,0.10077661121691063,0,0,0,MA_or_low_AR,small,5,16,10,1,24,16
