periode,cabang,rainfall
2021-01-01,16C,382.7
2021-02-01,16C,560.8
2021-03-01,16C,307.9
2021-04-01,16C,63.3
2021-05-01,16C,145.775
2021-06-01,16C,91.175
2021-07-01,16C,0.0
2021-08-01,16C,1.9
2021-09-01,16C,93.0
2021-10-01,16C,16.3
2021-11-01,16C,169.0
2021-12-01,16C,521.9
2022-01-01,16C,305.6
2022-02-01,16C,264.0
2022-03-01,16C,348.0
2022-04-01,16C,98.60000000000001
2022-05-01,16C,142.4
2022-06-01,16C,117.35
2022-07-01,16C,26.65
2022-08-01,16C,2.1
2022-09-01,16C,23.1
2022-10-01,16C,385.15
2022-11-01,16C,314.05
2022-12-01,16C,245.95
2023-01-01,16C,197.75
2023-02-01,16C,366.3
2023-03-01,16C,155.75
2023-04-01,16C,206.7
2023-05-01,16C,23.85
2023-06-01,16C,15.3
2023-07-01,16C,68.05
2023-08-01,16C,0.0
2023-09-01,16C,10.0
2023-10-01,16C,1.0
2023-11-01,16C,123.25
2023-12-01,16C,182.9
2024-01-01,16C,172.8
2024-02-01,16C,368.75
2024-03-01,16C,112.2
2024-04-01,16C,232.05
2024-05-01,16C,29.4
2024-06-01,16C,19.1
2024-07-01,16C,12.799999999999999
2024-08-01,16C,0.0
2024-09-01,16C,15.55
2024-10-01,16C,23.1
2024-11-01,16C,167.85
2024-12-01,16C,322.3
