cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
02A,AHIJ005K701,11,8,49.0,49.0,18.0,False,0.2727272727272727,11.0,2024-04-01,1,1,0
02A,AHIJ005K702,11,9,76.0,76.0,24.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K703,12,12,154.0,154.0,78.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K704,12,11,111.0,111.0,64.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K705,6,3,16.0,16.0,16.0,False,0.5,6.0,2023-11-01,6,0,0
02A,AHIJ005K706,12,10,82.0,82.0,46.0,True,0.16666666666666666,12.0,2024-05-01,0,1,0
02A,AHIJ005K707,12,9,152.0,152.0,92.0,True,0.25,12.0,2024-05-01,0,1,0
02A,AHIJ005K708,10,4,32.0,32.0,8.0,False,0.6,10.0,2024-03-01,2,1,0
02A,AHIJ005K709,11,9,100.0,100.0,52.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K710,12,12,432.0,432.0,240.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K711,10,8,44.0,44.0,18.0,False,0.2,10.0,2024-03-01,2,1,0
02A,AHIJ005K712,12,11,90.0,90.0,48.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K713,11,6,62.0,62.0,50.0,True,0.45454545454545453,11.0,2024-05-01,0,1,0
02A,AHIJ005K714,11,10,91.0,91.0,52.0,True,0.09090909090909091,11.0,2024-05-01,0,1,0
02A,AHIJ005K715,11,9,68.0,68.0,38.0,True,0.18181818181818182,11.0,2024-05-01,0,1,0
02A,AHIJ005K716,11,9,146.0,146.0,78.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K717,11,10,94.0,94.0,52.0,True,0.09090909090909091,11.0,2024-05-01,0,1,0
02A,AHIJ005K718,10,5,48.0,48.0,32.0,False,0.5,10.0,2024-04-01,1,1,0
02A,AHIJ005K719,12,12,144.0,144.0,68.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K720,12,11,99.0,99.0,48.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K721,11,5,48.0,48.0,32.0,True,0.5454545454545454,11.0,2024-05-01,0,1,0
02A,AHIJ005K722,12,11,150.0,150.0,82.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K723,9,5,46.0,46.0,34.0,False,0.4444444444444444,9.0,2024-03-01,2,1,0
02A,AHIJ005K724,10,9,84.0,84.0,52.0,False,0.1,10.0,2024-04-01,1,1,0
02A,AHIJ005K725,9,7,415.0,415.0,382.0,True,0.2222222222222222,9.0,2024-05-01,0,1,0
02A,AHIJ005K726,1,1,4.0,4.0,4.0,False,0.0,1.0,2024-03-01,2,1,0
